2019-09-11 19:14:38 INFO: Using 1 GPUs.

2019-09-11 19:34:48 INFO: Epoch[24] Iteration[1/46] Loss: 6.3906
2019-09-11 19:34:50 INFO: Epoch[24] Iteration[5/46] Loss: 6.3875
2019-09-11 19:34:51 INFO: Epoch[24] Iteration[9/46] Loss: 6.3844
2019-09-11 19:34:52 INFO: Epoch[24] Iteration[13/46] Loss: 6.3813
2019-09-11 19:34:54 INFO: Epoch[24] Iteration[17/46] Loss: 6.3787
2019-09-11 19:34:55 INFO: Epoch[24] Iteration[21/46] Loss: 6.3753
2019-09-11 19:34:56 INFO: Epoch[24] Iteration[25/46] Loss: 6.3726
2019-09-11 19:34:57 INFO: Epoch[24] Iteration[29/46] Loss: 6.3696
2019-09-11 19:34:59 INFO: Epoch[24] Iteration[33/46] Loss: 6.3667
2019-09-11 19:35:00 INFO: Epoch[24] Iteration[37/46] Loss: 6.3642
2019-09-11 19:35:01 INFO: Epoch[24] Iteration[41/46] Loss: 6.3613
2019-09-11 19:35:03 INFO: Epoch[24] Iteration[45/46] Loss: 6.3581
2019-09-11 19:35:39 INFO: Epoch[25] Iteration[1/46] Loss: 6.3564
2019-09-11 19:35:40 INFO: Epoch[25] Iteration[5/46] Loss: 6.3531
2019-09-11 19:35:41 INFO: Epoch[25] Iteration[9/46] Loss: 6.3498
2019-09-11 19:35:42 INFO: Epoch[25] Iteration[13/46] Loss: 6.3465
2019-09-11 19:35:44 INFO: Epoch[25] Iteration[17/46] Loss: 6.3435
2019-09-11 19:35:45 INFO: Epoch[25] Iteration[21/46] Loss: 6.3406
2019-09-11 19:35:46 INFO: Epoch[25] Iteration[25/46] Loss: 6.3375
2019-09-11 19:35:47 INFO: Epoch[25] Iteration[29/46] Loss: 6.3346
2019-09-11 19:35:49 INFO: Epoch[25] Iteration[33/46] Loss: 6.3317
2019-09-11 19:35:50 INFO: Epoch[25] Iteration[37/46] Loss: 6.3292
2019-09-11 19:35:51 INFO: Epoch[25] Iteration[41/46] Loss: 6.3266
2019-09-11 19:35:53 INFO: Epoch[25] Iteration[45/46] Loss: 6.3240
2019-09-11 19:36:28 INFO: Epoch[26] Iteration[1/46] Loss: 6.3227
2019-09-11 19:36:30 INFO: Epoch[26] Iteration[5/46] Loss: 6.3202
2019-09-11 19:36:31 INFO: Epoch[26] Iteration[9/46] Loss: 6.3171
2019-09-11 19:36:32 INFO: Epoch[26] Iteration[13/46] Loss: 6.3143
2019-09-11 19:36:34 INFO: Epoch[26] Iteration[17/46] Loss: 6.3115
2019-09-11 19:36:35 INFO: Epoch[26] Iteration[21/46] Loss: 6.3089
2019-09-11 19:36:36 INFO: Epoch[26] Iteration[25/46] Loss: 6.3067
2019-09-11 19:36:37 INFO: Epoch[26] Iteration[29/46] Loss: 6.3036
2019-09-11 19:36:39 INFO: Epoch[26] Iteration[33/46] Loss: 6.3006
